column_name,data_type,role,use_in_model_v1,available_at_prediction,unit,constraint_source,allowed_values_or_range,observed_values_or_range,project_validation_rule,missing_policy,missing_count,unique_count,exclusion_reason,description
EnvironmentSatisfaction,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 4]","ERIS project rule: integer in [1, 4]",Fail validation; no imputation in feature/split step,0,4,,Coded environment satisfaction level from 1 to 4.
Gender,categorical,audit_only,FALSE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Female | Male,Female: 588 | Male: 882,Exact value in project vocabulary: Female | Male,Fail validation; no imputation in feature/split step,0,2,Retained only for fairness audit; excluded from Model v1.,Gender category retained only for fairness audit.
HourlyRate,integer,exclude_v1_unclear_definition,FALSE,assumed_yes_requires_operational_validation,unspecified synthetic rate unit,ERIS project validation rule; observed IBM benchmark values,,"[30, 100]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,71,"Excluded from Model v1 because business definition, unit, and calculation are unspecified.",Synthetic hourly-rate variable; unit and calculation unspecified.
JobInvolvement,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 4]","ERIS project rule: integer in [1, 4]",Fail validation; no imputation in feature/split step,0,4,,Coded job involvement level from 1 to 4.
JobLevel,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 5]","ERIS project rule: integer in [1, 5]",Fail validation; no imputation in feature/split step,0,5,,Coded job level from 1 to 5.
JobRole,categorical,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Healthcare Representative | Human Resources | Laboratory Technician | Manager | Manufacturing Director | Research Director | Research Scientist | Sales Executive | Sales Representative,Healthcare Representative: 131 | Human Resources: 52 | Laboratory Technician: 259 | Manager: 102 | Manufacturing Director: 145 | Research Director: 80 | Research Scientist: 292 | Sales Executive: 326 | Sales Representative: 83,Exact value in project vocabulary: Healthcare Representative | Human Resources | Laboratory Technician | Manager | Manufacturing Director | Research Director | Research Scientist | Sales Executive | Sales Representative,Fail validation; no imputation in feature/split step,0,9,,Employee job role.
JobSatisfaction,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 4]","ERIS project rule: integer in [1, 4]",Fail validation; no imputation in feature/split step,0,4,,Coded job satisfaction level from 1 to 4.
MaritalStatus,categorical,audit_only,FALSE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Divorced | Married | Single,Divorced: 327 | Married: 673 | Single: 470,Exact value in project vocabulary: Divorced | Married | Single,Fail validation; no imputation in feature/split step,0,3,Retained only for fairness audit; excluded from Model v1.,Marital status retained only for fairness audit.
MonthlyIncome,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,unspecified currency units/month,ERIS project validation rule; observed IBM benchmark values,,"[1009, 19999]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,1349,,Synthetic monthly income variable; currency unit unspecified.
MonthlyRate,integer,exclude_v1_unclear_definition,FALSE,assumed_yes_requires_operational_validation,unspecified synthetic rate unit,ERIS project validation rule; observed IBM benchmark values,,"[2094, 26999]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,1427,"Excluded from Model v1 because business definition, unit, and calculation are unspecified.",Synthetic monthly-rate variable; not equivalent to MonthlyIncome; calculation unspecified.
NumCompaniesWorked,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,count,ERIS project validation rule; observed IBM benchmark values,,"[0, 9]","ERIS project rule: integer in [0, 9]",Fail validation; no imputation in feature/split step,0,10,,Number of companies previously worked at.
Over18,categorical,exclude_constant,FALSE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Y,Y: 1470,Exact value in project vocabulary: Y,Fail validation; no imputation in feature/split step,0,1,Constant column with no variance.,Constant benchmark field with observed value Y.
OverTime,categorical,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,No | Yes,No: 1054 | Yes: 416,Exact value in project vocabulary: No | Yes,Fail validation; no imputation in feature/split step,0,2,,Whether the employee works overtime.
PercentSalaryHike,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,percent,ERIS project validation rule; observed IBM benchmark values,,"[11, 25]","ERIS project rule: integer in [11, 25]",Fail validation; no imputation in feature/split step,0,15,,Percentage salary increase variable.
PerformanceRating,integer,candidate_review_low_variance,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,3: 1244 | 4: 226,"ERIS project rule: integer in [3, 4]",Fail validation; no imputation in feature/split step,0,2,,Coded performance rating; retained for low-variance review.
RelationshipSatisfaction,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 4]","ERIS project rule: integer in [1, 4]",Fail validation; no imputation in feature/split step,0,4,,Coded relationship satisfaction level from 1 to 4.
StandardHours,integer,exclude_constant,FALSE,assumed_yes_requires_operational_validation,hours,ERIS project validation rule; observed IBM benchmark values,,"[80, 80]",ERIS project rule: constant value 80,Fail validation; no imputation in feature/split step,0,1,Constant column with no variance.,Constant benchmark field with observed value 80.
StockOptionLevel,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[0, 3]","ERIS project rule: integer in [0, 3]",Fail validation; no imputation in feature/split step,0,4,,Coded stock option level from 0 to 3.
TotalWorkingYears,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,years,ERIS project validation rule; observed IBM benchmark values,,"[0, 40]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,40,,Total working years.
TrainingTimesLastYear,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,count,ERIS project validation rule; observed IBM benchmark values,,"[0, 6]","ERIS project rule: integer in [0, 6]",Fail validation; no imputation in feature/split step,0,7,,Number of training sessions attended last year.
WorkLifeBalance,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 4]","ERIS project rule: integer in [1, 4]",Fail validation; no imputation in feature/split step,0,4,,Coded work-life balance level from 1 to 4.
YearsAtCompany,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,years,ERIS project validation rule; observed IBM benchmark values,,"[0, 40]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,37,,Years at the current company.
YearsInCurrentRole,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,years,ERIS project validation rule; observed IBM benchmark values,,"[0, 18]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,19,,Years in the current role.
YearsSinceLastPromotion,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,years,ERIS project validation rule; observed IBM benchmark values,,"[0, 15]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,16,,Years since the last promotion.
YearsWithCurrManager,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,years,ERIS project validation rule; observed IBM benchmark values,,"[0, 17]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,18,,Years with the current manager.
